"mean1" "std1" "dist1" "n1" "dim1" "mean2" "std2" "dist2" "n2" "dim2" "time_pald_R" "bound_pald_R"
1 1 "normal" 10 1 1 1 "normal" 10 1 0.0030217170715332 0.054519288907732
1 1 "normal" 10 1 1 1 "normal" 10 1 0.00398778915405273 0.0539570867751371
1 1 "normal" 10 1 1 1 "normal" 10 1 0.00244832038879395 0.0531520851710888
1 1 "normal" 10 1 1 1 "normal" 10 1 0.00246381759643555 0.0511072954257735
1 1 "normal" 10 1 1 1 "normal" 10 1 0.00248622894287109 0.0528176786505367
1 1 "normal" 110 1 1 1 "normal" 10 1 0.186453342437744 0.0133378504351691
1 1 "normal" 110 1 1 1 "normal" 10 1 0.178006172180176 0.0132638198921221
1 1 "normal" 110 1 1 1 "normal" 10 1 0.167113304138184 0.0133630799917872
1 1 "normal" 110 1 1 1 "normal" 10 1 0.17602801322937 0.0133375177387174
1 1 "normal" 110 1 1 1 "normal" 10 1 0.224770784378052 0.0132224525370643
1 1 "normal" 210 1 1 1 "normal" 10 1 0.881650447845459 0.00818341420682747
1 1 "normal" 210 1 1 1 "normal" 10 1 0.861238718032837 0.00814551425854368
1 1 "normal" 210 1 1 1 "normal" 10 1 0.895337104797363 0.0081583050795352
1 1 "normal" 210 1 1 1 "normal" 10 1 0.858073472976685 0.00815357948175746
1 1 "normal" 210 1 1 1 "normal" 10 1 0.863292932510376 0.00816421758737047
1 1 "normal" 310 1 1 1 "normal" 10 1 2.31571698188782 0.00600253975300681
1 1 "normal" 310 1 1 1 "normal" 10 1 2.27056050300598 0.00598835191366989
1 1 "normal" 310 1 1 1 "normal" 10 1 2.30644130706787 0.00599098488393886
1 1 "normal" 310 1 1 1 "normal" 10 1 2.27351665496826 0.00596921206323212
1 1 "normal" 310 1 1 1 "normal" 10 1 2.25794219970703 0.00596077627746384
1 1 "normal" 410 1 1 1 "normal" 10 1 4.78477716445923 0.00477187876253175
1 1 "normal" 410 1 1 1 "normal" 10 1 4.72070932388306 0.00476468677955389
1 1 "normal" 410 1 1 1 "normal" 10 1 4.78689813613892 0.00476000332947803
1 1 "normal" 410 1 1 1 "normal" 10 1 4.7959897518158 0.00477511689174805
1 1 "normal" 410 1 1 1 "normal" 10 1 4.80240273475647 0.00476326355914451
1 1 "normal" 510 1 1 1 "normal" 10 1 8.69956135749817 0.00398476546795327
1 1 "normal" 510 1 1 1 "normal" 10 1 8.65227770805359 0.00399913453868534
1 1 "normal" 510 1 1 1 "normal" 10 1 8.81213641166687 0.0039919792159685
1 1 "normal" 510 1 1 1 "normal" 10 1 8.6908597946167 0.00399177877272581
1 1 "normal" 510 1 1 1 "normal" 10 1 8.67249631881714 0.00397496359303456
1 1 "normal" 610 1 1 1 "normal" 10 1 16.6444067955017 0.00343884889946689
1 1 "normal" 610 1 1 1 "normal" 10 1 16.6563696861267 0.00343866328864625
1 1 "normal" 610 1 1 1 "normal" 10 1 16.671215057373 0.0034302173387239
1 1 "normal" 610 1 1 1 "normal" 10 1 16.7959616184235 0.00344598293420253
1 1 "normal" 610 1 1 1 "normal" 10 1 16.5402393341064 0.00344004634924594
1 1 "normal" 710 1 1 1 "normal" 10 1 27.7430686950684 0.00302894994719633
1 1 "normal" 710 1 1 1 "normal" 10 1 27.7623102664948 0.00302767250118166
1 1 "normal" 710 1 1 1 "normal" 10 1 27.9674134254456 0.00303446677496023
1 1 "normal" 710 1 1 1 "normal" 10 1 27.8634562492371 0.00302925478464955
1 1 "normal" 710 1 1 1 "normal" 10 1 27.7289986610413 0.00302739102325323
1 1 "normal" 810 1 1 1 "normal" 10 1 43.7101967334747 0.00271500781025228
1 1 "normal" 810 1 1 1 "normal" 10 1 43.691967010498 0.002718205689016
1 1 "normal" 810 1 1 1 "normal" 10 1 43.7195119857788 0.00270968022273039
1 1 "normal" 810 1 1 1 "normal" 10 1 43.2765734195709 0.00272046493123593
1 1 "normal" 810 1 1 1 "normal" 10 1 43.920779466629 0.002716102491343
1 1 "normal" 910 1 1 1 "normal" 10 1 64.3939390182495 0.0024594637877285
1 1 "normal" 910 1 1 1 "normal" 10 1 64.7049853801727 0.00246687834637764
1 1 "normal" 910 1 1 1 "normal" 10 1 64.2214517593384 0.00246335321679889
1 1 "normal" 910 1 1 1 "normal" 10 1 65.5496509075165 0.00245806488471763
1 1 "normal" 910 1 1 1 "normal" 10 1 63.8181087970734 0.00245703834939824
1 1 "normal" 10 1 1 1 "normal" 110 1 0.167086124420166 0.0134128300488286
1 1 "normal" 10 1 1 1 "normal" 110 1 0.18579888343811 0.0134631679328401
1 1 "normal" 10 1 1 1 "normal" 110 1 0.183439254760742 0.0133595521695004
1 1 "normal" 10 1 1 1 "normal" 110 1 0.171369075775146 0.0132945199591997
1 1 "normal" 10 1 1 1 "normal" 110 1 0.167049169540405 0.013257862621936
1 1 "normal" 110 1 1 1 "normal" 110 1 0.869139194488525 0.00814496762888117
1 1 "normal" 110 1 1 1 "normal" 110 1 0.862879276275635 0.00813380846680926
1 1 "normal" 110 1 1 1 "normal" 110 1 0.84334659576416 0.00812833771408517
1 1 "normal" 110 1 1 1 "normal" 110 1 0.856990814208984 0.00813205030334737
1 1 "normal" 110 1 1 1 "normal" 110 1 0.884641885757446 0.00814767444883628
1 1 "normal" 210 1 1 1 "normal" 110 1 2.31409668922424 0.00599381870104078
1 1 "normal" 210 1 1 1 "normal" 110 1 2.26867723464966 0.00600761135546892
1 1 "normal" 210 1 1 1 "normal" 110 1 2.28830027580261 0.00599356704123644
1 1 "normal" 210 1 1 1 "normal" 110 1 2.29288220405579 0.00599709921626611
1 1 "normal" 210 1 1 1 "normal" 110 1 2.29708743095398 0.00599550430902533
1 1 "normal" 310 1 1 1 "normal" 110 1 4.75773692131042 0.00474973211205974
1 1 "normal" 310 1 1 1 "normal" 110 1 4.73882555961609 0.00478327367405386
1 1 "normal" 310 1 1 1 "normal" 110 1 4.73909711837769 0.00476490615278318
1 1 "normal" 310 1 1 1 "normal" 110 1 4.74517917633057 0.00476437361628813
1 1 "normal" 310 1 1 1 "normal" 110 1 4.77185034751892 0.00476451960119805
1 1 "normal" 410 1 1 1 "normal" 110 1 8.52002024650574 0.00397088842821486
1 1 "normal" 410 1 1 1 "normal" 110 1 8.65758609771729 0.00398252379627856
1 1 "normal" 410 1 1 1 "normal" 110 1 8.6587245464325 0.00399518423793191
1 1 "normal" 410 1 1 1 "normal" 110 1 8.65726804733276 0.00399517435472993
1 1 "normal" 410 1 1 1 "normal" 110 1 8.55513548851013 0.00398940147962834
1 1 "normal" 510 1 1 1 "normal" 110 1 16.6264841556549 0.00343871947740293
1 1 "normal" 510 1 1 1 "normal" 110 1 16.5214970111847 0.00344881640592653
1 1 "normal" 510 1 1 1 "normal" 110 1 16.708776473999 0.0034324129117638
1 1 "normal" 510 1 1 1 "normal" 110 1 16.750013589859 0.0034387570210235
1 1 "normal" 510 1 1 1 "normal" 110 1 16.5701947212219 0.0034308425538951
1 1 "normal" 610 1 1 1 "normal" 110 1 27.5573241710663 0.00303315487780273
1 1 "normal" 610 1 1 1 "normal" 110 1 27.7565493583679 0.00303625376086025
1 1 "normal" 610 1 1 1 "normal" 110 1 27.8150551319122 0.00303245688947635
1 1 "normal" 610 1 1 1 "normal" 110 1 28.0570998191833 0.00303034994373963
1 1 "normal" 610 1 1 1 "normal" 110 1 27.7910540103912 0.0030365599938329
1 1 "normal" 710 1 1 1 "normal" 110 1 43.5882873535156 0.00271636329076378
1 1 "normal" 710 1 1 1 "normal" 110 1 43.8622937202454 0.00271254495030542
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7377660274506 0.00271600773800109
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7394371032715 0.00271179197016503
1 1 "normal" 710 1 1 1 "normal" 110 1 43.7450671195984 0.00271104716259218
1 1 "normal" 810 1 1 1 "normal" 110 1 63.8072547912598 0.00246130686823087
1 1 "normal" 810 1 1 1 "normal" 110 1 64.1905505657196 0.00246173684177779
1 1 "normal" 810 1 1 1 "normal" 110 1 63.566942691803 0.00246190559756948
1 1 "normal" 810 1 1 1 "normal" 110 1 64.0139501094818 0.00245431912837047
1 1 "normal" 810 1 1 1 "normal" 110 1 63.3309714794159 0.00245662269350331
