rows,cols,vals
1,23,0.036885943
1,41,0.029986043
3,18,0.025710363
3,31,0.030666629
3,32,0.036133103
3,47,0.027751178
3,48,0.028261382
4,1,0.042662982
5,1,0.025620844
5,4,0.028926076
6,35,0.03174544
7,36,0.027176833
8,14,0.041708395
8,23,0.029470854
8,27,0.03044267
8,41,0.027228203
9,24,0.03216584
10,1,0.03380893
10,4,0.03550961
11,3,0.041697472
11,31,0.0253864
11,32,0.034044407
11,47,0.0253864
11,48,0.0253864
12,15,0.035154946
12,17,0.02876649
12,22,0.031032078
12,25,0.02946222
12,30,0.026911201
12,49,0.035154942
14,23,0.03329822
14,41,0.03329822
15,17,0.025846627
15,22,0.05264324
15,25,0.03920787
15,26,0.028256822
15,30,0.034275893
15,46,0.0294573
16,9,0.04580421
16,19,0.039001487
16,28,0.02609178
16,41,0.025328971
17,1,0.025732484
17,10,0.042389005
18,31,0.048474126
18,47,0.041671403
18,48,0.029207844
19,9,0.039345495
19,27,0.030921794
19,41,0.031706728
20,44,0.02839354
21,18,0.034574196
21,48,0.04448673
22,17,0.026194923
22,26,0.02993642
22,46,0.03285187
23,17,0.025775053
23,27,0.036032844
24,16,0.027280368
24,19,0.025647715
25,17,0.025786484
25,22,0.038717505
25,26,0.032400694
25,30,0.038717505
26,8,0.03158969
26,43,0.02932212
26,46,0.046845973
27,14,0.040914174
27,41,0.04856723
27,43,0.030154817
28,9,0.028658418
28,24,0.0327793
28,39,0.0412827
29,7,0.033540867
29,36,0.02673815
30,17,0.02923537
30,22,0.046396047
30,26,0.03551169
30,46,0.03551169
31,21,0.02941633
31,32,0.038648594
31,48,0.02941633
32,18,0.02833019
32,47,0.027819984
32,48,0.025779169
33,38,0.04172658
33,40,0.03492386
34,14,0.026277846
34,27,0.026594743
34,43,0.02890617
38,21,0.025865618
38,40,0.03545246
39,9,0.02782436
39,16,0.02782436
39,19,0.026310567
39,24,0.037178103
40,21,0.026391044
41,23,0.042140834
43,8,0.04584666
43,14,0.038477045
45,34,0.03528511
46,8,0.027579473
46,25,0.044440497
46,43,0.027579471
46,44,0.025229445
47,21,0.029216034
47,31,0.042044025
47,48,0.035046935
49,15,0.04367002
49,22,0.037717637
49,25,0.035166617
49,26,0.026643211
49,30,0.02904417
49,46,0.02904417
