0.022,0,0.012,0.005,0,0,0.002,0,0,0,0,0.006,0,0,0,0,0,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0,0.004,0.006,0.002,0,0.004,0,0,0.002,0,0.002,0,0,0,0,0,0,0.004,0.002,0
0,0.055,0,0.003,0.045,0.028,0.002,0.001,0.016,0.014,0.035,0.003,0.013,0.006,0.018,0.015,0.013,0.027,0.004,0.022,0.005,0.005,0.015,0.037,0.009,0.015,0.015,0.024,0.007,0.001,0.017,0.004,0.003,0.009,0.009,0.003,0.002,0.001,0.009,0.007,0.009,0.03,0,0.014,0.009,0.008,0.015,0.004,0.004,0.014
0.012,0,0.034,0.02,0.002,0.001,0.018,0,0,0,0.003,0.02,0.004,0,0,0.003,0,0.003,0.017,0,0,0.012,0.003,0,0,0.002,0,0,0,0,0.002,0.018,0.02,0.008,0,0.019,0,0,0.008,0,0.007,0,0,0,0.001,0,0.002,0.018,0.014,0.003
0.005,0.003,0.022,0.055,0.003,0.003,0.019,0,0.002,0,0.005,0.045,0.006,0.001,0.001,0.004,0,0.005,0.026,0.001,0.002,0.023,0.004,0.003,0,0.004,0.003,0.001,0,0,0.004,0.031,0.036,0.014,0,0.022,0,0,0.014,0,0.016,0.001,0,0.002,0.003,0,0.003,0.028,0.028,0.005
0,0.043,0.002,0.003,0.053,0.032,0.003,0.001,0.011,0.01,0.036,0.003,0.012,0.006,0.011,0.013,0.01,0.023,0.006,0.015,0.003,0.007,0.015,0.022,0.007,0.013,0.013,0.016,0.005,0,0.018,0.005,0.003,0.021,0.008,0.003,0.001,0,0.021,0.005,0.018,0.021,0,0.01,0.008,0.005,0.013,0.005,0.006,0.013
0,0.026,0.001,0.003,0.029,0.038,0.002,0.002,0.01,0.016,0.017,0.003,0.006,0.018,0.008,0.007,0.014,0.015,0.006,0.016,0.002,0.006,0.009,0.016,0.012,0.008,0.008,0.01,0.005,0.001,0.009,0.005,0.004,0.019,0.006,0.002,0.003,0,0.019,0.006,0.013,0.015,0,0.008,0.004,0.004,0.008,0.004,0.004,0.006
0.002,0.002,0.018,0.018,0.003,0.002,0.042,0,0.002,0,0.004,0.018,0.006,0,0.001,0.004,0,0.004,0.015,0.001,0.004,0.015,0.004,0.002,0,0.004,0.003,0.001,0,0,0.004,0.016,0.016,0.007,0,0.032,0,0,0.007,0,0.008,0.001,0,0.002,0.004,0,0.003,0.016,0.018,0.005
0,0.001,0,0,0.001,0.002,0,0.044,0.002,0.011,0,0,0,0.01,0.004,0,0.01,0.001,0,0.009,0.001,0,0.001,0.001,0.017,0.001,0.001,0.006,0.019,0.034,0.001,0,0,0,0.008,0,0.027,0.013,0,0.019,0,0.004,0.008,0.003,0,0.008,0.001,0,0,0
0,0.016,0,0.002,0.012,0.01,0.002,0.002,0.059,0.011,0.014,0.002,0.016,0.001,0.042,0.02,0.012,0.016,0.003,0.012,0.012,0.003,0.021,0.029,0.008,0.022,0.033,0.03,0.008,0.002,0.024,0.003,0.002,0.004,0.024,0.002,0.004,0.006,0.004,0.008,0.005,0.027,0.001,0.049,0.02,0.018,0.031,0.003,0.003,0.019
0,0.014,0,0,0.011,0.015,0,0.011,0.012,0.057,0.007,0,0.002,0.009,0.013,0.005,0.046,0.007,0.001,0.04,0.005,0.001,0.007,0.014,0.032,0.007,0.009,0.021,0.029,0.01,0.007,0.001,0,0.001,0.02,0.001,0.015,0.006,0.001,0.029,0.001,0.022,0.001,0.012,0.006,0.019,0.008,0.001,0.001,0.003
0,0.034,0.002,0.005,0.036,0.016,0.004,0,0.014,0.006,0.055,0.005,0.023,0.003,0.013,0.023,0.006,0.045,0.009,0.008,0.005,0.01,0.025,0.026,0.002,0.019,0.018,0.012,0.001,0,0.022,0.007,0.005,0.018,0.006,0.005,0.001,0,0.018,0.001,0.022,0.013,0,0.011,0.01,0.004,0.019,0.007,0.009,0.019
0.006,0.003,0.021,0.042,0.003,0.003,0.018,0,0.002,0,0.005,0.052,0.005,0.001,0.001,0.004,0,0.004,0.022,0,0.002,0.02,0.004,0.002,0,0.004,0.003,0.001,0,0,0.003,0.025,0.034,0.013,0,0.023,0,0,0.013,0,0.014,0.001,0,0.001,0.003,0,0.003,0.025,0.025,0.004
