"","V2","V3","moonsgt"
"1",0.92348615,0.122719261,1
"2",-0.30709719,0.961819762,1
"3",0.657885841,0.795394233,1
"4",-0.911260222,0.457256923,1
"5",1.73660088,-0.15962585,2
"6",1.86268724,-0.00373151756,2
"7",1.11449304,-0.419841614,2
"8",0.785512306,-0.523146613,2
"9",0.710677384,0.718520615,1
"10",0.267700487,1.01200038,1
"11",-0.581729756,0.99099184,1
"12",1.33606497,-0.556940515,2
"13",0.828152694,0.557933742,1
"14",-1.06014596,0.100876588,1
"15",1.89444889,0.0431143389,2
"16",1.63883267,-0.142452297,2
"17",0.945090178,-0.459731724,2
"18",-0.911248603,0.503795654,1
"19",0.0226294229,0.362487031,2
"20",1.94378492,0.324514726,2
"21",0.564698268,0.917819101,1
"22",1.12458675,-0.407460947,2
"23",0.756381232,0.633498217,1
"24",-0.52292565,0.963831285,1
"25",0.847075958,0.529435591,1
"26",1.00360636,-0.488195857,2
"27",0.773739853,0.553037859,1
"28",0.353109856,-0.16991087,2
"29",0.76205363,-0.45557744,2
"30",0.724082463,0.669147777,1
"31",0.313333393,0.944795476,1
"32",0.102119387,0.0960246422,2
"33",1.01588024,0.0587680787,1
"34",-0.844847106,0.538472055,1
"35",-1.01999599,0.325100861,1
"36",0.344334146,0.931082544,1
"37",1.87827198,0.27402661,2
"38",-0.709489364,0.656756791,1
"39",1.43879857,-0.587418553,2
"40",0.842358642,0.508622963,1
"41",-1.0140797,0.0617330578,1
"42",-0.0922459401,1.04838308,1
"43",0.271070429,-0.195380131,2
"44",-0.231893767,0.94614386,1
"45",0.902680488,-0.488173753,2
"46",-0.848490228,0.542092896,1
"47",0.643525901,-0.468248846,2
"48",0.557623785,0.84438311,1
"49",0.928594283,0.291509456,1
"50",1.44971085,-0.323696125,2
"51",1.99338212,0.361761025,2
"52",0.111177111,0.0631341636,2
"53",2.00821489,0.081596719,2
"54",1.79248584,-0.116099604,2
"55",-0.485663701,0.807268121,1
"56",1.33552351,-0.434887521,2
"57",0.139453919,-0.134933671,2
"58",0.775406184,-0.495086699,2
"59",1.55673183,-0.210562729,2
"60",-0.909044406,0.445934139,1
"61",0.582309016,0.87225267,1
"62",0.885613355,0.452253495,1
"63",0.986786383,0.243364315,1
"64",-0.462240087,0.897966128,1
"65",1.34079648,-0.549112139,2
"66",-1.01274149,0.126301549,1
"67",1.29913757,-0.445032775,2
"68",0.969353428,0.26780974,1
"69",0.994299413,0.0961289354,1
"70",0.643526638,0.798391925,1
"71",0.0748975238,0.453186006,2
"72",0.237738533,-0.118270016,2
"73",1.78886384,-0.0863777643,2
"74",1.81268141,-0.143509367,2
"75",0.583433278,0.679820305,1
"76",-0.825345894,0.586520701,1
"77",1.44538387,-0.286128552,2
"78",-0.0232914193,0.448489754,2
"79",0.0123004852,0.0667497831,2
"80",-0.931335115,0.20010159,1
"81",0.752202791,-0.490069873,2
"82",-0.142084072,1.0178874,1
"83",0.659690033,-0.435675304,2
"84",1.11712967,-0.494155667,2
"85",0.0258279961,0.121406098,2
"86",1.17136203,-0.467121613,2
"87",-0.793653038,0.66220948,1
"88",0.676925785,0.723935975,1
"89",0.599031152,-0.357745667,2
"90",0.608398894,-0.408427556,2
"91",0.252318033,-0.114644539,2
"92",-0.769161811,0.526616731,1
"93",0.957221686,0.159270196,1
"94",1.66845618,-0.333029968,2
"95",0.206791551,-0.0481187221,2
"96",-1.10226608,0.111844239,1
"97",1.56318003,-0.266157326,2
"98",1.89945166,-0.00723662761,2
"99",1.96756645,0.11630402,2
"100",-0.970814361,0.291620708,1
"101",0.97456643,-0.0731270826,1
"102",-0.515495352,0.885430845,1
"103",0.876803806,0.446914498,1
"104",0.113878021,1.01361068,1
"105",0.967395999,0.320377623,1
"106",0.0936369523,-0.0575678069,2
"107",-0.527282054,0.947406814,1
"108",-0.297030404,0.914356868,1
"109",-0.142281558,0.929830504,1
"110",-0.0313435794,0.164716596,2
"111",1.13358842,-0.560122035,2
"112",-0.887329476,0.187643749,1
"113",-0.610942066,0.79208533,1
"114",-0.332714142,0.985125402,1
"115",0.142343713,-0.0429271646,2
"116",1.52085991,-0.320602628,2
"117",-0.0869263444,1.05595857,1
"118",0.290548111,0.971887551,1
"119",-0.0150845438,0.324726565,2
"120",-0.557329959,0.755430901,1
"121",0.433646696,-0.381147947,2
"122",0.677091807,-0.403937511,2
"123",0.472871151,-0.471253353,2
"124",-0.8207982,0.706794218,1
"125",-0.268664989,0.998441018,1
"126",1.61013606,-0.264246847,2
"127",-0.739511449,0.698140909,1
"128",-0.357991957,0.949579467,1
"129",0.236379141,0.960410866,1
"130",-1.02738233,0.265844826,1
"131",0.44733232,-0.354805868,2
"132",-0.162878405,0.999441658,1
"133",0.431125429,0.852302331,1
"134",0.0924316123,1.0316659,1
"135",1.31361663,-0.490755391,2
"136",2.03235705,0.24246437,2
"137",1.76150504,-0.12912577,2
"138",-0.373894771,0.955651402,1
"139",0.15156724,0.985027544,1
"140",0.815371137,-0.505405311,2
"141",1.96931676,0.333747722,2
"142",1.37411498,-0.450235276,2
"143",-1.02438425,-0.116657237,1
"144",0.110246668,0.121062871,2
"145",0.17467723,-0.255046368,2
"146",0.417813261,-0.239156774,2
"147",-0.233360624,0.98102164,1
"148",-0.721878399,0.695194768,1
"149",-0.873953473,0.289842405,1
"150",0.631508724,0.652232462,1
"151",-0.828126603,0.59858595,1
"152",-0.868480316,0.425933256,1
"153",-0.93606964,-0.0992452146,1
"154",-0.545602834,0.901091991,1
"155",0.829416772,0.514370901,1
"156",0.0933884719,1.03059497,1
"157",0.908122196,-0.500923189,2
"158",0.979909039,0.0362569602,1
"159",0.760657549,0.633493193,1
"160",1.92077043,0.258749709,2
"161",1.83294705,-0.132936784,2
"162",0.0110633363,0.463501897,2
"163",1.64374435,-0.148878889,2
"164",-0.644741994,0.778889447,1
"165",1.24688161,-0.368209416,2
"166",0.685567885,0.744690195,1
"167",0.640621815,-0.475666423,2
"168",0.98359637,0.332548085,1
"169",0.275752948,-0.0858051068,2
"170",-0.822220788,0.451242212,1
"171",-0.0194526808,0.439461792,2
"172",0.78051714,0.499636878,1
"173",0.473897153,0.845970573,1
"174",0.413418806,-0.365120963,2
"175",1.85019634,0.383632649,2
"176",0.091266558,0.10465456,2
"177",0.274320548,-0.14751707,2
"178",-0.788500323,0.633364397,1
"179",-0.959628929,0.257320172,1
"180",0.60242107,0.801040348,1
"181",1.99140885,0.456408705,2
"182",0.0854020299,0.997561911,1
"183",0.598593298,-0.458123605,2
"184",1.88753888,0.0744197588,2
"185",1.06693728,-0.379918079,2
"186",1.02719651,0.131533257,1
"187",-0.938789412,0.228156919,1
"188",-0.240231985,0.942620952,1
"189",0.298966751,0.977857415,1
"190",0.933932351,0.241747178,1
"191",1.9495821,0.405951444,2
"192",1.70129195,-0.167600756,2
"193",-0.750916544,0.666721458,1
"194",1.03684673,-0.423076454,2
"195",-1.00912106,0.123577288,1
"196",-0.427498247,0.873015477,1
"197",0.823642092,0.467942102,1
"198",0.364203408,0.844360356,1
"199",1.9371001,0.0414401664,2
"200",1.90379463,-0.00848461934,2
"201",0.680125993,-0.431721369,2
"202",2.00439263,0.235835801,2
"203",0.317796282,0.864969944,1
"204",1.93941103,0.173507014,2
"205",0.0644194915,0.344567243,2
"206",-0.614727774,0.725919971,1
"207",1.23950656,-0.461425149,2
"208",2.05252866,0.272546189,2
"209",-0.806728863,0.636464305,1
"210",-0.807753494,0.736884859,1
"211",0.226440248,-0.0301740083,2
"212",0.496943235,-0.496659188,2
"213",0.244436603,-0.0999293216,2
"214",0.107459305,0.913190587,1
"215",1.93673059,0.377314547,2
"216",0.0581850909,0.0134534472,2
"217",0.623005228,-0.3681732,2
"218",0.809050683,-0.398911922,2
