rows,cols,vals
1,2,0
1,3,0.00709492203521169
2,3,0
1,4,0.000110638154116415
2,4,0.00550334605262791
3,4,0
1,5,5.32821824381927e-05
2,5,0.00541403941233205
3,5,0.000160876733395892
4,5,0.00588488158957616
1,6,0.00237001174985301
2,6,0.0043603144341613
3,6,0.00095788532554621
4,6,0.015897638545518
5,6,0.00255310239693493
1,7,0.00496235437383241
2,7,5.21322072776561e-05
3,7,0.0119515137271554
4,7,0.000107359621330687
5,7,0.000501733244366096
6,7,0.00133954471020792
1,8,0.00210844403072557
2,8,0.00806921723565803
3,8,0.000808494502683783
4,8,0.00282441482075754
5,8,0.00198648973503073
6,8,0.00580512639712965
7,8,0.00311976568485164
1,9,0.00517841142289284
2,9,0
3,9,0.0132725366652395
4,9,0
5,9,0
6,9,0.000590671794694302
7,9,0.00958651572045085
8,9,0.00117430546762563
1,10,0.000387577025777608
2,10,0.0106421964011731
3,10,0.000745606458356925
4,10,0.00596945547464292
5,10,0.00716980398850438
6,10,0.00826237256192954
7,10,0.000495571160874769
8,10,0.0040828386228383
9,10,5.21322072776561e-05
1,11,0.00678625483765937
2,11,0
3,11,0.0072469690012662
4,11,0
5,11,0
6,11,0.000156774391450922
7,11,0.0065710610789099
8,11,0.000156396621832968
9,11,0.007823783538503
10,11,0
1,12,0.006561089936122
2,12,0
3,12,0.0154392870807434
4,12,0
5,12,0
6,12,0.000716857018714978
7,12,0.0107451420144366
8,12,0.0006911995954075
9,12,0.0156613545112184
10,12,5.21322072776561e-05
11,12,0.00918024414507312
1,13,0.00435967976745413
2,13,0.000213008940673548
3,13,0.00502538318836174
4,13,0.000216104147448923
5,13,0.000659163810168926
6,13,0.00175306968370263
7,13,0.0102248450673609
8,13,0.00519992938588505
9,13,0.00473972776346289
10,13,0.000494512922183662
11,13,0.0035994612875934
12,13,0.00564061121611256
1,14,0.00990557918841192
2,14,0
3,14,0.011336311791482
4,14,0
5,14,0
6,14,0.00148079242957654
7,14,0.00882188983821459
8,14,0.00108605834642368
9,14,0.00750914146524661
10,14,0.000260661036388281
11,14,0.0107438133753641
12,14,0.0110073457174095
13,14,0.00342839347849694
1,15,0.000776280768121684
2,15,0.00209746862304432
3,15,0.00207663946981233
4,15,0.00321588027962157
5,15,0.00542195491310695
6,15,0.0118276972429798
7,15,0.00302990795758495
8,15,0.00265981467039885
9,15,0.000871570932076365
10,15,0.0104578257954032
11,15,0.000365303220561547
12,15,0.000926886785599984
13,15,0.00258267874082543
14,15,0.00117233102292207
1,16,0.00928262836477843
2,16,0.000377568494707001
3,16,0.0138613145507312
4,16,0.000273162232579586
5,16,0.000547559128143478
6,16,0.00270737969952715
7,16,0.0154394797434392
8,16,0.00403400562428514
9,16,0.00932274794077144
10,16,0.00066308107731382
11,16,0.00528345478715852
12,16,0.0107208557348005
13,16,0.00632595171677246
14,16,0.0141381188733557
15,16,0.00183297159822731
1,17,0.00137729488933175
2,17,0.00027134429867545
3,17,0.0074200756846529
4,17,0.000159491828608343
5,17,0.0012245494968697
6,17,0.00228370863216161
7,17,0.00945145121181613
8,17,0.00338295414785794
9,17,0.00377274141565984
10,17,0.00230428858133424
11,17,0.00109963423401166
12,17,0.00424011824173232
13,17,0.00822992093013322
14,17,0.00307775478645927
15,17,0.00837642982532128
16,17,0.00520486171325191
1,18,0.00256676977268329
2,18,0
3,18,0.00057574307895355
4,18,0.000634166300612822
5,18,5.21322072776561e-05
6,18,5.32821824381927e-05
7,18,0.00169176591246746
8,18,0.000105414389715849
9,18,0.00104606625330632
10,18,0.000159916747818449
11,18,0.00448499664423317
12,18,0.00088891409223744
13,18,0.00101621479505568
14,18,0.00138375544292969
15,18,0.000540585582948902
16,18,0.00074201938603896
17,18,0.000367214249842925
1,19,0.00738337070727154
2,19,0
3,19,0.0172786595476381
4,19,0
5,19,0
6,19,0.000827902858607221
7,19,0.0110001599048426
8,19,0.000930374107541193
9,19,0.0180768134484165
10,19,0.000266499843603378
11,19,0.00924612064825652
12,19,0.0209289664834663
13,19,0.00527355386875384
14,19,0.0105808700067903
15,19,0.00125592824356804
16,19,0.012017205410517
17,19,0.00467578801623806
18,19,0.000732517470404472
