mean1,std1,dist1,n1,dim1,mean2,std2,dist2,n2,dim2,matlab_time,matlab_bound
1,1,normal,10,1,1,1,normal,10,1,0.072718,0.0529913931799014
1,1,normal,10,1,1,1,normal,10,1,0.005717,0.0531470194005838
1,1,normal,10,1,1,1,normal,10,1,0.006364,0.0540242005134257
1,1,normal,10,1,1,1,normal,10,1,0.003086,0.0536609595119453
1,1,normal,10,1,1,1,normal,10,1,0.013368,0.0522272803057388
1,1,normal,110,1,1,1,normal,10,1,0.087019,0.0132850369438573
1,1,normal,110,1,1,1,normal,10,1,0.086736,0.0133401298375067
1,1,normal,110,1,1,1,normal,10,1,0.086971,0.013337097718754
1,1,normal,110,1,1,1,normal,10,1,0.088344,0.0133095072338751
1,1,normal,110,1,1,1,normal,10,1,0.087593,0.0133787615141549
1,1,normal,210,1,1,1,normal,10,1,0.369856,0.00816289927277109
1,1,normal,210,1,1,1,normal,10,1,0.372111,0.0081505617272872
1,1,normal,210,1,1,1,normal,10,1,0.369161,0.00812866102980984
1,1,normal,210,1,1,1,normal,10,1,0.370593,0.00811389306433589
1,1,normal,210,1,1,1,normal,10,1,0.371373,0.00817984795625696
1,1,normal,310,1,1,1,normal,10,1,0.983342,0.00597847612082048
1,1,normal,310,1,1,1,normal,10,1,0.981229,0.00599660128015559
1,1,normal,310,1,1,1,normal,10,1,0.977578,0.005967927565899
1,1,normal,310,1,1,1,normal,10,1,0.980344,0.00597434655152215
1,1,normal,310,1,1,1,normal,10,1,0.984424,0.00598687368052308
1,1,normal,410,1,1,1,normal,10,1,1.971781,0.00478420266683317
1,1,normal,410,1,1,1,normal,10,1,1.987273,0.00478448200504466
1,1,normal,410,1,1,1,normal,10,1,1.966933,0.00477180806518976
1,1,normal,410,1,1,1,normal,10,1,1.969406,0.00477484739442263
1,1,normal,410,1,1,1,normal,10,1,1.972527,0.00477007135395431
1,1,normal,510,1,1,1,normal,10,1,3.533686,0.0039900976030693
1,1,normal,510,1,1,1,normal,10,1,3.51884,0.00398750265020705
1,1,normal,510,1,1,1,normal,10,1,3.518221,0.00399871986137747
1,1,normal,510,1,1,1,normal,10,1,3.518643,0.00398468418604223
1,1,normal,510,1,1,1,normal,10,1,3.524707,0.00398395547721124
1,1,normal,610,1,1,1,normal,10,1,6.041744,0.00344766337483555
1,1,normal,610,1,1,1,normal,10,1,6.14309,0.00343809681863234
1,1,normal,610,1,1,1,normal,10,1,5.975231,0.00344883296648426
1,1,normal,610,1,1,1,normal,10,1,5.97138,0.00344114355160054
1,1,normal,610,1,1,1,normal,10,1,6.033645,0.00344009143940576
1,1,normal,710,1,1,1,normal,10,1,10.136682,0.00304140729379968
