mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,10,1,normal,1,1,10,1,normal,0.010837078094482422,0.05332207969929044
1,1,10,1,normal,1,1,10,1,normal,0.010978937149047852,0.05282439750276113
1,1,10,1,normal,1,1,10,1,normal,0.010943889617919922,0.052285277794458365
1,1,10,1,normal,1,1,10,1,normal,0.010558366775512695,0.05321182771340797
1,1,10,1,normal,1,1,10,1,normal,0.010593175888061523,0.052749745243866185
1,1,110,1,normal,1,1,10,1,normal,0.4303288459777832,0.013453265625777385
1,1,110,1,normal,1,1,10,1,normal,0.42081141471862793,0.01332336727840205
1,1,110,1,normal,1,1,10,1,normal,0.4393022060394287,0.01332010157140238
1,1,110,1,normal,1,1,10,1,normal,0.42912769317626953,0.013364434073723497
1,1,110,1,normal,1,1,10,1,normal,0.4413161277770996,0.013243464690487029
1,1,210,1,normal,1,1,10,1,normal,1.7225019931793213,0.008142752853866269
1,1,210,1,normal,1,1,10,1,normal,1.6702885627746582,0.008150029750940984
1,1,210,1,normal,1,1,10,1,normal,1.6518995761871338,0.00815757124899508
1,1,210,1,normal,1,1,10,1,normal,1.642552137374878,0.008127849011273338
1,1,210,1,normal,1,1,10,1,normal,1.6924464702606201,0.008182323008403415
1,1,310,1,normal,1,1,10,1,normal,3.665320873260498,0.005976284495562163
1,1,310,1,normal,1,1,10,1,normal,3.6042709350585938,0.005999647072402065
1,1,310,1,normal,1,1,10,1,normal,3.6077651977539062,0.006007419902458897
1,1,310,1,normal,1,1,10,1,normal,3.609470844268799,0.0060120380987433485
1,1,310,1,normal,1,1,10,1,normal,3.6102664470672607,0.005981880664139082
1,1,410,1,normal,1,1,10,1,normal,6.521405220031738,0.004764491518263636
1,1,410,1,normal,1,1,10,1,normal,6.43848991394043,0.0047904855936942116
1,1,410,1,normal,1,1,10,1,normal,6.37378454208374,0.0047638437502295315
1,1,410,1,normal,1,1,10,1,normal,6.310488224029541,0.0047911077995287325
1,1,410,1,normal,1,1,10,1,normal,6.295950889587402,0.004780392901406357
1,1,510,1,normal,1,1,10,1,normal,10.162742376327515,0.0039853295021514195
1,1,510,1,normal,1,1,10,1,normal,10.233484745025635,0.0039890506799936595
1,1,510,1,normal,1,1,10,1,normal,10.178836345672607,0.003986881104522002
1,1,510,1,normal,1,1,10,1,normal,10.166720390319824,0.003972801185795952
1,1,510,1,normal,1,1,10,1,normal,10.156426191329956,0.003983670023513808
1,1,610,1,normal,1,1,10,1,normal,14.588906526565552,0.0034365239896845343
1,1,610,1,normal,1,1,10,1,normal,14.672590494155884,0.003446128246096279
1,1,610,1,normal,1,1,10,1,normal,14.487290143966675,0.00344456995308028
1,1,610,1,normal,1,1,10,1,normal,14.521124601364136,0.0034430629695598397
1,1,610,1,normal,1,1,10,1,normal,14.479229927062988,0.003434749953568834
1,1,710,1,normal,1,1,10,1,normal,19.99301791191101,0.003027176463576146
1,1,710,1,normal,1,1,10,1,normal,19.82422161102295,0.0030284133754314626
1,1,710,1,normal,1,1,10,1,normal,19.691694021224976,0.0030232162561322565
1,1,710,1,normal,1,1,10,1,normal,19.809643983840942,0.0030304416933152104
1,1,710,1,normal,1,1,10,1,normal,19.860290050506592,0.0030347650201007115
1,1,810,1,normal,1,1,10,1,normal,25.896316289901733,0.0027158876819647765
1,1,810,1,normal,1,1,10,1,normal,26.28901696205139,0.002707138070630937
1,1,810,1,normal,1,1,10,1,normal,25.980316400527954,0.0027204203606267575
1,1,810,1,normal,1,1,10,1,normal,26.16417360305786,0.0027146605200608995
1,1,810,1,normal,1,1,10,1,normal,26.005669832229614,0.0027122098171161704
1,1,910,1,normal,1,1,10,1,normal,32.94566488265991,0.0024542165496278805
1,1,910,1,normal,1,1,10,1,normal,32.810221910476685,0.002459611079709552
1,1,910,1,normal,1,1,10,1,normal,32.76582312583923,0.0024615083856110768
1,1,910,1,normal,1,1,10,1,normal,32.714306354522705,0.0024592095233065274
1,1,910,1,normal,1,1,10,1,normal,32.97987914085388,0.002455368382332769
1,1,10,1,normal,1,1,110,1,normal,0.4250040054321289,0.013389531599947302
1,1,10,1,normal,1,1,110,1,normal,0.40741729736328125,0.013307661751509547
1,1,10,1,normal,1,1,110,1,normal,0.423020601272583,0.013286879607502383
1,1,10,1,normal,1,1,110,1,normal,0.4054453372955322,0.013236207962662231
1,1,10,1,normal,1,1,110,1,normal,0.43136048316955566,0.013438540188326952
1,1,110,1,normal,1,1,110,1,normal,1.6971626281738281,0.008144238759501038
1,1,110,1,normal,1,1,110,1,normal,1.71748685836792,0.008111892635400545
1,1,110,1,normal,1,1,110,1,normal,1.6483874320983887,0.008148149777837439
1,1,110,1,normal,1,1,110,1,normal,1.6646382808685303,0.008154054796524212
1,1,110,1,normal,1,1,110,1,normal,1.6723065376281738,0.008147015039248088
1,1,210,1,normal,1,1,110,1,normal,3.6648175716400146,0.0059722361908862475
1,1,210,1,normal,1,1,110,1,normal,3.627699136734009,0.006000656585348113
1,1,210,1,normal,1,1,110,1,normal,3.684765577316284,0.0059976906851538
1,1,210,1,normal,1,1,110,1,normal,3.69157338142395,0.005968480809263905
1,1,210,1,normal,1,1,110,1,normal,3.5991175174713135,0.005983458730264156
1,1,310,1,normal,1,1,110,1,normal,6.467877149581909,0.004760886319560879
1,1,310,1,normal,1,1,110,1,normal,6.3172173500061035,0.004772254537959518
1,1,310,1,normal,1,1,110,1,normal,6.293751001358032,0.004784532298812835
1,1,310,1,normal,1,1,110,1,normal,6.299027919769287,0.004764502370415527
1,1,310,1,normal,1,1,110,1,normal,6.281665802001953,0.004780894208008092
1,1,410,1,normal,1,1,110,1,normal,10.193937540054321,0.003976641187022253
1,1,410,1,normal,1,1,110,1,normal,10.10800051689148,0.003995442902732289
1,1,410,1,normal,1,1,110,1,normal,10.080413341522217,0.003983860152134423
1,1,410,1,normal,1,1,110,1,normal,10.351693391799927,0.0039895018469798494
1,1,410,1,normal,1,1,110,1,normal,10.165629863739014,0.003988578428763593
1,1,510,1,normal,1,1,110,1,normal,14.556360960006714,0.0034425432073891455
1,1,510,1,normal,1,1,110,1,normal,14.641075611114502,0.0034422140095650452
1,1,510,1,normal,1,1,110,1,normal,14.783931016921997,0.0034360318150424645
1,1,510,1,normal,1,1,110,1,normal,14.599225997924805,0.003433525371821228
1,1,510,1,normal,1,1,110,1,normal,14.887970685958862,0.003433602197113455
1,1,610,1,normal,1,1,110,1,normal,19.752042293548584,0.0030239839096554933
1,1,610,1,normal,1,1,110,1,normal,19.727174282073975,0.003024159251016433
1,1,610,1,normal,1,1,110,1,normal,19.496679067611694,0.0030298953205222657
1,1,610,1,normal,1,1,110,1,normal,19.489899396896362,0.0030308374743527426
1,1,610,1,normal,1,1,110,1,normal,19.597411155700684,0.0030259670170904103
1,1,710,1,normal,1,1,110,1,normal,25.776793479919434,0.0027136432504342115
1,1,710,1,normal,1,1,110,1,normal,26.428865909576416,0.0027095960449058237
1,1,710,1,normal,1,1,110,1,normal,25.844772338867188,0.002718784949050602
1,1,710,1,normal,1,1,110,1,normal,25.78812003135681,0.00270643729211605
1,1,710,1,normal,1,1,110,1,normal,25.784614324569702,0.002712193595130254
1,1,810,1,normal,1,1,110,1,normal,32.883923292160034,0.002460856100627483
1,1,810,1,normal,1,1,110,1,normal,32.85313105583191,0.0024636245054845247
1,1,810,1,normal,1,1,110,1,normal,33.054606914520264,0.002461058008137064
1,1,810,1,normal,1,1,110,1,normal,32.770378828048706,0.0024600135259860473
1,1,810,1,normal,1,1,110,1,normal,33.16751742362976,0.0024567994349705045
1,1,910,1,normal,1,1,110,1,normal,40.83181190490723,0.0022507731011897204
1,1,910,1,normal,1,1,110,1,normal,40.71952199935913,0.0022542407860603624
1,1,910,1,normal,1,1,110,1,normal,40.988200426101685,0.002251424630639211
1,1,910,1,normal,1,1,110,1,normal,41.01144099235535,0.00225250700671487
1,1,910,1,normal,1,1,110,1,normal,40.81195259094238,0.002255199562462215
1,1,10,1,normal,1,1,210,1,normal,1.6584031581878662,0.008186198419994907
1,1,10,1,normal,1,1,210,1,normal,1.7058405876159668,0.008136454046343949
1,1,10,1,normal,1,1,210,1,normal,1.6728951930999756,0.008194529109191027
1,1,10,1,normal,1,1,210,1,normal,1.6515827178955078,0.008139856632500454
1,1,10,1,normal,1,1,210,1,normal,1.6507301330566406,0.00811274019268103
1,1,110,1,normal,1,1,210,1,normal,3.5982136726379395,0.00601783424840662
1,1,110,1,normal,1,1,210,1,normal,3.628955125808716,0.0059748404786329375
1,1,110,1,normal,1,1,210,1,normal,3.6024444103240967,0.005997391231691057
1,1,110,1,normal,1,1,210,1,normal,3.6062207221984863,0.006002279475534668
