mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,10,1,normal,0,1,10,1,normal,0.008943796157836914,0.7056732177734375,0.12250256538391113,0.16959834098815918,0.3080406188964844,0.05332207969929044,0.05332208275794983,0.05332207969929044,0.053322088718414304,0.05332208275794983
0,1,10,1,normal,0,1,10,1,normal,0.009853839874267578,0.0015912055969238281,0.0864717960357666,0.0012774467468261719,0.027684688568115234,0.05282439750276113,0.05282440185546875,0.05282439750276113,0.05282440185546875,0.05282440185546875
0,1,10,1,normal,0,1,10,1,normal,0.009626388549804688,0.0014812946319580078,0.08572220802307129,0.00125885009765625,0.02766704559326172,0.052285277794458365,0.05228527784347534,0.052285277794458365,0.05228527784347534,0.05228528380393982
0,1,10,1,normal,0,1,10,1,normal,0.009773969650268555,0.0014803409576416016,0.08540821075439453,0.0012650489807128906,0.027662277221679688,0.05321182771340797,0.05321183204650879,0.05321182771340797,0.05321183204650879,0.05321183204650879
0,1,10,1,normal,0,1,10,1,normal,0.009677410125732422,0.0014538764953613281,0.08630681037902832,0.0012803077697753906,0.027556657791137695,0.052749745243866185,0.052749747037887575,0.052749745243866185,0.052749747037887575,0.052749747037887575
0,1,210,1,normal,0,1,10,1,normal,1.6305980682373047,0.018625497817993164,9.879645586013794,0.011210203170776367,3.0849337577819824,0.008170317162294907,0.008170317519794811,0.008170317162294907,0.008170317519794811,0.008170317519794811
0,1,210,1,normal,0,1,10,1,normal,1.1591389179229736,0.011919260025024414,9.765318155288696,0.011192560195922852,3.1749744415283203,0.008160523154433382,0.008160523934797808,0.008160523154433382,0.008160523934797808,0.008160522851076994
0,1,210,1,normal,0,1,10,1,normal,1.1597893238067627,0.011718511581420898,9.781785726547241,0.011164665222167969,3.188737392425537,0.008139473737442487,0.008139474283565174,0.008139473737442487,0.008139474283565174,0.008139474825425581
0,1,210,1,normal,0,1,10,1,normal,1.1579170227050781,0.01168060302734375,9.762522220611572,0.010883331298828125,3.174041271209717,0.008123153336493058,0.00812315290624445,0.008123153336493058,0.00812315290624445,0.00812315290624445
0,1,210,1,normal,0,1,10,1,normal,1.156224012374878,0.011505365371704102,9.645695209503174,0.01121377944946289,3.1997382640838623,0.008149895412666083,0.008149895884773948,0.008149895412666083,0.008149895884773948,0.008149895884773948
